PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
40207160,2023-05-01,,13,,,,
40970825,2023-06-01,,0,,,,
37725775,2023-03-01,,"37,91",,,,
39431111,2023-05-01,,0,,,,
40785484,2023-06-01,,0,,,,
41167729,2023-06-01,,"0,34",,,,
35584811,2023-06-01,0,0,,,,
38370125,2023-06-01,"19,44","19,45",,,,
38806852,2023-04-01,,20,,,,
39624015,2023-06-01,0,0,,,,
37754692,2023-05-01,0,0,,,,
38087832,2023-05-01,"18101,91","159681,92",,,,
38141369,2023-03-01,,20,,,,
36769982,2023-03-01,0,0,,,,
36247187,2023-05-01,"44,8","217,56",,,,
36027135,2023-02-01,220,220,,,,
37853492,2023-05-01,,0,,,,
38499566,2023-05-01,"4085,9","2000,22",,,,
35754625,2023-02-01,"7,64","7,87",,,,
40117903,2023-06-01,0,0,,,,
37953855,2023-06-01,0,0,,,,
35935355,2023-04-01,0,0,,,,
35752725,2023-05-01,"217,38","52,74",,,,
37751036,2023-06-01,"3,41","0,34",,,,
41257473,2023-06-01,,20,,,,
36039195,2023-05-01,"0,62","151,6",,,,
36642506,2023-03-01,"17,45","9,86",,,,
40342816,2023-05-01,,20,,,,
36207275,2023-04-01,"160,77","208,26",,,,
37799452,2023-04-01,0,0,,,,
38897606,2023-05-01,0,0,,,,
37342779,2023-04-01,"16,38","13,15",,,,
35676906,2023-02-01,"188,56","74,25",,,,
37512327,2023-04-01,0,0,,,,
36375597,2023-02-01,0,"21,13",,,,
38324639,2023-03-01,,"1,46",,"1,46",,
38305467,2023-05-01,11,0,,,,
37627141,2023-04-01,7,7,,,,
40048664,2023-05-01,,"8,05",,,,
38265005,2023-04-01,0,0,,,,
40240495,2023-06-01,"2,32",0,,,,
35525618,2023-04-01,"3002,1","1798,48",,,,
37999220,2023-04-01,,0,,,,
35827999,2023-06-01,0,0,,,,
37796249,2023-06-01,0,0,,,,
37866259,2023-04-01,"191,22","6,2",,,,
37593849,2023-03-01,,"242,96",,,,
36992369,2023-05-01,"969,52","13,89",,,,
38708077,2023-04-01,,0,,,,
37140674,2023-05-01,0,0,,,,
37028469,2023-03-01,620,"1289,91",,,,
36504619,2023-02-01,,"1149,21",,,,
35872470,2023-01-01,,0,,,,
38598129,2023-04-01,,"56,94",,,,
35577482,2023-01-01,,0,,,,
41059150,2023-06-01,,"994,12",,,,
